"Czas (s)";"Napięcie (V)"
69.000;0.003
69.050;0.003
69.100;0.003
69.150;0.003
69.200;0.003
69.250;0.003
69.300;0.004
69.350;0.004
69.400;0.003
69.450;0.003
69.500;0.003
69.550;0.003
69.600;0.003
69.650;0.003
69.700;0.003
69.750;0.003
69.800;0.003
69.850;0.003
69.900;0.003
69.950;0.002
70.000;0.003
70.050;0.003
70.100;0.003
70.150;0.002
70.200;0.002
70.250;0.003
70.300;0.003
70.350;0.003
70.400;0.003
70.450;0.003
70.500;0.002
70.550;0.003
70.600;0.003
70.650;0.002
70.700;0.003
70.750;0.003
70.800;0.003
70.850;0.002
70.900;0.002
70.950;0.003
71.000;0.002
71.050;0.003
71.100;0.003
71.150;0.003
71.200;0.002
71.250;0.002
71.300;0.003
71.350;0.003
71.400;0.002
71.450;0.003
71.500;0.003
71.550;0.003
71.600;0.003
71.650;0.002
71.700;0.002
71.750;0.002
71.800;0.002
71.850;0.003
71.900;0.003
71.950;0.003
72.000;0.003
72.050;0.002
72.100;0.003
72.150;0.002
72.200;0.003
72.250;0.003
72.300;0.002
72.350;0.002
72.400;0.002
72.450;0.002
72.500;0.003
72.550;0.003
72.600;0.002
72.650;0.002
72.700;0.002
72.750;0.002
72.800;0.003
72.850;0.002
72.900;0.002
72.950;0.002
73.000;0.002
73.050;0.002
73.100;0.002
73.150;0.003
73.200;0.002
73.250;0.003
73.300;0.003
73.350;0.003
73.400;0.002
73.450;0.003
73.500;0.002
73.550;0.002
73.600;0.003
73.650;0.003
73.700;0.003
73.750;0.003
73.800;0.002
73.850;0.002
73.900;0.002
73.950;0.003
74.000;0.003
74.050;0.003
74.100;0.003
74.150;0.003
74.200;0.002
74.250;0.003
74.300;0.003
74.350;0.004
74.400;0.004
74.450;0.003
74.500;0.003
74.550;0.003
74.600;0.003
74.650;0.003
74.700;0.003
74.750;0.004
74.800;0.003
74.850;0.002
74.900;0.002
74.950;0.003
75.000;0.003
75.050;0.003
75.100;0.003
75.150;0.003
75.200;0.002
75.250;0.002
75.300;0.003
75.350;0.002
75.400;0.003
75.450;0.003
75.500;0.003
75.550;0.003
75.600;0.003
75.650;0.003
75.700;0.003
75.750;0.003
75.800;0.003
75.850;0.004
75.900;0.003
75.950;0.003
76.000;0.003
76.050;0.003
76.100;0.003
76.150;0.003
76.200;0.003
76.250;0.003
76.300;0.003
76.350;0.002
76.400;0.003
76.450;0.002
76.500;0.002
76.550;0.003
76.600;0.003
76.650;0.002
76.700;0.002
76.750;0.002
76.800;0.002
76.850;0.003
76.900;0.003
76.950;0.003
77.000;0.002
77.050;0.002
77.100;0.002
77.150;0.002
77.200;0.002
77.250;0.003
77.300;0.003
77.350;0.003
77.400;0.002
77.450;0.002
77.500;0.003
77.550;0.003
77.600;0.003
77.650;0.003
77.700;0.002
77.750;0.002
77.800;0.002
77.850;0.002
77.900;0.003
77.950;0.003
78.000;0.002
78.050;0.002
78.100;0.002
78.150;0.002
78.200;0.002
78.250;0.002
78.300;0.002
78.350;0.002
78.400;0.002
78.450;0.002
78.500;0.002
78.550;0.002
78.600;0.003
78.650;0.003
78.700;0.003
78.750;0.003
78.800;0.002
78.850;0.002
78.900;0.002
78.950;0.002
79.000;0.003
79.050;0.002
79.100;0.003
79.150;0.002
79.200;0.002
79.250;0.002
79.300;0.002
79.350;0.003
79.400;0.003
79.450;0.003
79.500;0.002
79.550;0.002
79.600;0.002
79.650;0.002
79.700;0.002
79.750;0.003
79.800;0.002
79.850;0.002
79.900;0.002
79.950;0.002
80.000;0.002
80.050;0.002
80.100;0.002
80.150;0.003
80.200;0.002
80.250;0.002
80.300;0.002
80.350;0.002
80.400;0.002
80.450;0.002
80.500;0.003
80.550;0.003
80.600;0.002
80.650;0.002
80.700;0.002
80.750;0.002
80.800;0.002
80.850;0.002
80.900;0.002
80.950;0.002
81.000;0.002
81.050;0.001
81.100;0.002
81.150;0.002
81.200;0.002
81.250;0.003
81.300;0.003
81.350;0.002
81.400;0.002
81.450;0.002
81.500;0.003
81.550;0.003
81.600;0.003
81.650;0.003
81.700;0.002
81.750;0.002
81.800;0.002
81.850;0.002
81.900;0.002
81.950;0.003
82.000;0.002
82.050;0.002
82.100;0.002
82.150;0.002
82.200;0.002
82.250;0.002
82.300;0.003
82.350;0.002
82.400;0.002
82.450;0.002
82.500;0.002
82.550;0.002
82.600;0.002
82.650;0.002
82.700;0.002
82.750;0.002
82.800;0.002
82.850;0.002
82.900;0.003
82.950;0.003
83.000;0.003
83.050;0.003
83.100;0.002
83.150;0.002
83.200;0.002
83.250;0.002
83.300;0.002
83.350;0.003
83.400;0.003
83.450;0.002
83.500;0.002
83.550;0.002
83.600;0.002
83.650;0.002
83.700;0.003
83.750;0.003
83.800;0.003
83.850;0.002
83.900;0.002
83.950;0.002
84.000;0.002
84.050;0.002
84.100;0.003
84.150;0.003
84.200;0.002
84.250;0.002
84.300;0.002
84.350;0.002
84.400;0.002
84.450;0.002
84.500;0.002
84.550;0.002
84.600;0.002
84.650;0.002
84.700;0.002
84.750;0.002
84.800;0.003
84.850;0.003
84.900;0.003
84.950;0.002
85.000;0.002
85.050;0.002
85.100;0.002
85.150;0.003
85.200;0.002
85.250;0.003
85.300;0.002
85.350;0.002
85.400;0.002
85.450;0.002
85.500;0.003
85.550;0.002
85.600;0.002
85.650;0.002
85.700;0.001
85.750;0.002
85.800;0.002
85.850;0.002
85.900;0.002
85.950;0.003
86.000;0.002
86.050;0.002
86.100;0.002
86.150;0.002
86.200;0.002
86.250;0.002
86.300;0.002
86.350;0.002
86.400;0.002
86.450;0.002
86.500;0.002
86.550;0.002
86.600;0.002
86.650;0.003
86.700;0.002
86.750;0.002
86.800;0.002
86.850;0.002
86.900;0.002
86.950;0.002
87.000;0.002
