"Czas (s)","Napięcie (V)"
45.750,0.594
45.800,0.591
45.850,0.589
45.900,0.587
45.950,0.586
46.000,0.584
46.050,0.583
46.100,0.581
46.150,0.579
46.200,0.576
46.250,0.574
46.300,0.572
46.350,0.570
46.400,0.568
46.450,0.567
46.500,0.565
46.550,0.563
46.600,0.560
46.650,0.557
46.700,0.556
46.750,0.554
46.800,0.553
46.850,0.551
46.900,0.550
46.950,0.549
47.000,0.546
47.050,0.544
47.100,0.543
47.150,0.542
47.200,0.540
47.250,0.539
47.300,0.536
47.350,0.534
47.400,0.532
47.450,0.530
47.500,0.528
47.550,0.527
47.600,0.526
47.650,0.524
47.700,0.522
47.750,0.520
47.800,0.518
47.850,0.516
47.900,0.515
47.950,0.514
48.000,0.512
48.050,0.510
48.100,0.509
48.150,0.506
48.200,0.505
48.250,0.503
48.300,0.501
48.350,0.501
48.400,0.499
48.450,0.497
48.500,0.495
48.550,0.493
48.600,0.492
48.650,0.490
48.700,0.488
48.750,0.487
48.800,0.486
48.850,0.484
48.900,0.482
48.950,0.480
49.000,0.479
49.050,0.477
49.100,0.476
49.150,0.475
49.200,0.473
49.250,0.471
49.300,0.469
49.350,0.468
49.400,0.467
49.450,0.465
49.500,0.464
49.550,0.463
49.600,0.461
49.650,0.459
49.700,0.457
49.750,0.456
49.800,0.454
49.850,0.453
49.900,0.451
49.950,0.451
50.000,0.448
50.050,0.447
50.100,0.445
50.150,0.444
50.200,0.442
50.250,0.441
50.300,0.440
50.350,0.438
50.400,0.437
50.450,0.434
50.500,0.433
50.550,0.432
50.600,0.431
50.650,0.430
50.700,0.429
50.750,0.428
50.800,0.425
50.850,0.424
50.900,0.423
50.950,0.421
51.000,0.420
51.050,0.419
51.100,0.418
51.150,0.416
51.200,0.415
51.250,0.413
51.300,0.412
51.350,0.410
51.400,0.409
51.450,0.408
51.500,0.408
51.550,0.406
51.600,0.404
51.650,0.403
51.700,0.401
51.750,0.400
51.800,0.400
51.850,0.399
51.900,0.397
51.950,0.395
52.000,0.394
52.050,0.392
52.100,0.391
52.150,0.390
52.200,0.389
52.250,0.387
52.300,0.386
52.350,0.384
52.400,0.382
52.450,0.382
52.500,0.381
52.550,0.379
52.600,0.378
52.650,0.377
52.700,0.377
52.750,0.374
52.800,0.373
52.850,0.372
52.900,0.370
52.950,0.370
53.000,0.369
53.050,0.368
53.100,0.367
53.150,0.365
53.200,0.364
53.250,0.363
53.300,0.361
53.350,0.361
53.400,0.360
53.450,0.358
53.500,0.355
53.550,0.354
53.600,0.353
53.650,0.351
53.700,0.351
53.750,0.350
53.800,0.349
53.850,0.348
53.900,0.346
53.950,0.345
54.000,0.345
54.050,0.344
54.100,0.343
54.150,0.342
54.200,0.341
54.250,0.340
54.300,0.338
